artist,album,track,uri,genero_principal,generos_secundarios
CA7RIEL & Paco Amoroso,PAPOTA,RE FORRO,spotify:track:1qB1YwUoz2xrk18SoejACp,Urbano Latino,"Electro Funk, Alternative Trap, Hip-Hop"
Indio Solari,Porco Rex,Bebamos de las Copas Lindas,spotify:track:30cVBv4c1viJRduJevuer5,Rock Argentino,"Hard Rock, Art Rock"
Babasonicos,Dopadromo,Perfume Casino,spotify:track:5uLcCL0k07AP5LCIkayVxb,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Radiohead,OK Computer,Let Down,spotify:track:2fuYa3Lx06QQJAm0MjztKr,Alternative Rock,"Art Rock, Experimental / Electronic Rock"
Luis Alberto Spinetta,Para Los Arboles,Vidami,spotify:track:3xV9L7JbuxsuqWmhxIbXYT,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Los Abuelos De La Nada,Himno De Mi Corazon,Vasos Y Besos,spotify:track:07QREl4jDo70v2OWztf0to,Indie / Unmapped,Alternative / Various
Máze,Aguinaldo,La Distancia Es Fundamental,spotify:track:5ktzVG4YjQaY0OnUzOr6Ab,Indie Electronic,"Synth-Pop, Ambient"
La Maquina De Hacer Pájaros,La Máquina de Hacer Pájaros,Rock and Roll,spotify:track:6Fv1cm5OlaYFTBuyMh7UYU,Rock Progresivo,"Symphonic Rock, Fusion"
The Black Keys,Ohio Players,This Is Nowhere,spotify:track:37882noVE5QIJLPUzYJuZQ,Indie / Unmapped,Alternative / Various
Javiera Mena,Espejo,Escalera,spotify:track:0PZVhSVqZz9kyTHjPaMRtU,Indie / Unmapped,Alternative / Various
Babasonicos,Trinchera,Anubis,spotify:track:7nY0VWOxHHhKIp8YhPfH5c,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
El Mató a un Policía Motorizado,La Dinastía Scorpio,El Magnetismo,spotify:track:4u8A7x0YPkPCkC0eRM9qL7,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Perotá Chingó,Perotá Chingó,Inca Yuyo,spotify:track:1ZV1odcS1M1hydil0XF6bT,World Music,"Folk Latinoamericano, Acoustic Indie"
Gustavo Cerati,Fuerza Natural,Desastre,spotify:track:2K0GxrtQNE3tVFeW4fYGZi,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion"
NAFTA,Duele,Duele,spotify:track:5aS8Tp9ewqjjKzdhqdgjaK,Neo-Soul,"R&B, Funk Calmo"
Mumford & Sons,Babel,For Those Below,spotify:track:7fNJ2enWiwByLb9fwkshhw,Indie / Unmapped,Alternative / Various
WOS,PUAJ (sesión),PUAJ (sesión),spotify:track:6fTxvdEyWl3zZg2XTWO4s8,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion"
New Order,Substance,Blue Monday,spotify:track:6hHc7Pks7wtBIW8Z6A0iFq,Indie / Unmapped,Alternative / Various
Palo Pandolfo,Siervo,Tu Amor,spotify:track:72dOraUibPKchwcY5czIKg,Indie / Unmapped,Alternative / Various
Pedro Pastor,Quererte,Quererte,spotify:track:62JhUldtUH5uifSjkjDGUw,Indie / Unmapped,Alternative / Various
Los Fundamentalistas del Aire Acondicionado,La Vuelta al Condenado Paraíso,"Mi Genio Amor - En Vivo, Estadio Único de La Plata / Diciembre de 2021",spotify:track:0cIQgMbbfe4ezak7ZBQdhM,Indie / Unmapped,Alternative / Various
José González,Local Valley,Horizons,spotify:track:3Ivs2Wry7YsNZOALPiHXLD,Indie Folk,"Acoustic, Singer-Songwriter"
La Maquina De Hacer Pájaros,La Máquina de Hacer Pájaros,Como Mata el Viento Norte,spotify:track:7BbpLe12HpkoZJcJs1A3SP,Rock Progresivo,"Symphonic Rock, Fusion"
Lisandro Aristimuño,Ese Asunto de la Ventana,Anochecer,spotify:track:1QdxiCy2JcoDTG6gzU8Msl,Canción de Autor,"Folktronica, Indie Folk"
Lola Parda,Parda,Alturas Confusas,spotify:track:4XMX5QYWy7i0kMjZvIMKfX,Indie / Unmapped,Alternative / Various
Illya Kuryaki & The Valderramas,Chaco (Serie Rock Nacional 2004),Abismo,spotify:track:6oCXxmPBZ5DWVqfticoh4c,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B"
Sticky Fingers,Land Of Pleasure,Feast Your Eyes,spotify:track:5IKNgusj3nF5xWfBHhuTf1,Indie / Unmapped,Alternative / Various
Marilina Bertoldi,Prender un Fuego,Fumar de día,spotify:track:482CWaKmMQzrYMQMEMYRtT,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Martín Buscaglia,Plácido Domingo,Yo Nunca Pedí,spotify:track:6g47cPPTFYmr844kpu3gnE,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Patricio Rey y sus Redonditos de Ricota,La Mosca y la Sopa,Tarea Fina,spotify:track:6EIa9ndihAihOlcDNLx6Wx,Rock Argentino,"Post-Punk, Hard Rock"
Le Mans,Le Mans,Un Rayo De Sol,spotify:track:2PNP5T1ppi3ohxibQI08bf,Indie / Unmapped,Alternative / Various
Gustavo Cerati,Colores Santos,Hoy Ya No Soy Yo,spotify:track:1m0obkZfMvfVJtPQ4FrTda,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion"
Bob Dylan,New Morning,Sign on the Window,spotify:track:0cpTK1S7dSmnsTA1Xm0BcR,Folk Rock,"Singer-Songwriter, Classic Rock"
Sandro,Sandro Lo Mejor,Ave De Paso,spotify:track:3N7Q0qR9gNVVLp9XH40BBb,Indie / Unmapped,Alternative / Various
Gabo Ferro,La primera noche del fantasma,Volver a Volver,spotify:track:5ud9m3hK0ScDeiRA9GKRg3,Canción de Autor,"Rock de Cámara, Experimental Folk"
Bad Bunny,Un Verano Sin Ti,Ojitos Lindos,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Caetano Veloso,Meu Coco,Sem Samba Não Dá,spotify:track:1pIwgYq2uM1Q2nu9DTODGP,Indie / Unmapped,Alternative / Various
The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,Sweet Jane,spotify:track:2LAZn3ygMkecVRmyXvGjHO,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock"
Marilina Bertoldi,Cosa Mía,Cosa Mía,spotify:track:1h2Au6U97bvTS1O9ruDLeD,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Stereolab,Not Music,Everybody's Weird Except Me,spotify:track:03rL9vPrIZhVqO0Am8b4K3,Indie / Unmapped,Alternative / Various
Gauchito Club,Encendedor,Encendedor,spotify:track:1hr5gH354OTSaeV6pPZxkT,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
Fito Paez,La La La,Solo La La La,spotify:track:1Lrqto8Do13SBnSVCEe7i5,Rock Argentino,"Pop Rock, Piano Rock"
Los Piojos,Azul,Y Quemás,spotify:track:499kpq8yWHsIWhWrM0Wk6v,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock"
Arcade Fire,WE,The Lightning II,spotify:track:1tuQOu0GEvC70bCFzltK3a,Indie Rock,"Art Rock, Alternative Rock"
Charly García,Tango,La Gente Es la Misma,spotify:track:27y60AoHYM5EPoOMsRKJi8,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Martín Buscaglia,Plácido Domingo,Mil Cosas,spotify:track:5fMYK5ttVL4OhvaA0UCAqg,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Marilina Bertoldi,Amuleto,Amuleto,spotify:track:4YM2iJsKTDYbLWpOIFSDLL,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Mac DeMarco,Guitar,Phantom,spotify:track:5A6xiYvuRA76qdjr5fjjGw,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
The Flaming Lips,Yoshimi Battles the Pink Robots,Do You Realize??,spotify:track:2DFRFqWNahKtFD112H2iEZ,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental"
Lo' Pibitos,Bajo la Lluvia 雨曝,Bajo la Lluvia 雨曝,spotify:track:6Dhfh7KXJeFd8CgXRXSxo9,Indie / Unmapped,Alternative / Various
Duratierra,LA FUERZA,Ámbar,spotify:track:4yRsIJ3Qz8Z21TJfP2Kyj4,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Axel Fiks,Goma,Goma,spotify:track:6ADV5jQv9nflcA5t4DIlwY,Indie Pop,"R&B Urbano, Bedroom Pop"
Fito Paez,Circo Beat,She's Mine,spotify:track:31CwFUc5iyzdVsDHrTzQG6,Rock Argentino,"Pop Rock, Piano Rock"
Gabo Ferro,Todo lo sólido se desvanece en el aire,Costurera y carpintero,spotify:track:4EokAJoceZZbMzu37nGd3I,Canción de Autor,"Rock de Cámara, Experimental Folk"
Charly García,Parte De La Religion,La Ruta del Tentempié,spotify:track:2SmMlziW8PCEkdIuxAhpw9,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
La Vela Puerca,Destilar,La Luna de Neuquén,spotify:track:6ZznUaja8PfIbU7UPUJrj4,Rock Uruguayo,"Ska Rock, Punk Rock"
Suarez,Excursiones,Río Paraná,spotify:track:3ErnpA5sFpJbCQTkwp7CEK,Indie Rock,"Experimental, Dream Pop, Lo-Fi"
El Mató a un Policía Motorizado,La Sintesis O'Konor,El Mundo Extraño,spotify:track:7F5jWzjyyTqN73HwhL9swo,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Mac DeMarco,This Old Dog,Dreams from Yesterday,spotify:track:49iNhnDmNnHYxPvEIVtPiN,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Massive Attack,Blue Lines,Hymn Of The Big Wheel - Remastered 2012,spotify:track:3YfYFIV5DU5U9nfJN1Eujs,Indie / Unmapped,Alternative / Various
Ainda,MILLONES,Maremagnum,spotify:track:5W3eEy8Igr1vFThLOvdzZC,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
Camaron De La Isla,Flamenco es... Camaron,Volando Voy,spotify:track:6YksxWWmhFOZjMfh3eRyYk,Flamenco,"Nuevo Flamenco, Rumba Flamenca"
La Maquina De Hacer Pájaros,La Máquina de Hacer Pájaros,Por Probar el Vino y el Agua Salada,spotify:track:5N51Oz7iz2i1Y3vsSutYJq,Rock Progresivo,"Symphonic Rock, Fusion"
Usted Señalemelo,II,F.T,spotify:track:3xGYklu2vMLWm6SKUwe3h6,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Bad Bunny,DeBÍ TiRAR MáS FOToS,NUEVAYoL,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Tribalistas,Tribalistas,Já Sei Namorar - 2004 Digital Remaster,spotify:track:352FuGmGJClPjojSYjNrXG,MPB,"Pop Brasileño, Acoustic Fusion"
Adrian Berra,Mi Casa No Tiene Paredes,En Movimiento,spotify:track:5mTeW6NBIde3FvNqqphp9G,Indie / Unmapped,Alternative / Various
Air,Talkie Walkie,Cherry Blossom Girl,spotify:track:4m8ttWM8IKXyhpv89E867J,Indie / Unmapped,Alternative / Various
ROSALÍA,MOTOMAMI,BULERÍAS,spotify:track:5tmrMIajDQRBcJQPaoAGdk,Nuevo Flamenco,"Latin Alternative, Bolero Fusion, Experimental Pop"
Suarez,Por última vez,Pájaros,spotify:track:40r8exebu3RCPZsM8CGUly,Indie Rock,"Experimental, Dream Pop, Lo-Fi"
The Lumineers,Cleopatra,Patience,spotify:track:5GMdPeOxQxZcD4bIEdEutW,Indie Folk,"Americana, Acoustic"
Bad Bunny,Un Verano Sin Ti,Otro Atardecer,spotify:track:0E0DRHf5PfMeor0ZCwB3oT,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
The Clash,Give 'Em Enough Rope (Remastered),Stay Free - Remastered,spotify:track:32rUsiLCvd1yZWr4UFUoiu,Punk Rock,"Post-Punk, Garage Rock"
Virus,Agujero Interior,El Probador,spotify:track:1vyOl6icaFMQmtQ1CVwkWV,Synth-Pop,"New Wave, Pop Rock"
Fun People,Reel Around the Fountain,Esos Dias,spotify:track:6LABUfTDRKb5QGZNgWrDq0,Hardcore Punk,"Melodic Hardcore, Alternative Rock"
Eduardo Mateo,Musicasión 4 1/2,Príncipe Azul,spotify:track:0GdXyEDkI2qKWD6Q4tO0mw,Candombe Beat,"MPB Uruguay, Psych Folk"
Luis Alberto Spinetta,Spinettalandia y Sus Amigos,Ni Cuenta Te Das,spotify:track:40YRFO2MsMwp6bGoWqCPM9,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Juca Chaves,Muito Vivo,Take Me Back To Piauí,spotify:track:26uzS4AhDPEYbGwcWFWB2O,Indie / Unmapped,Alternative / Various
Javiera Mena,Esquemas Juveniles,Sol de Invierno,spotify:track:7F01A0iUZOuMyuGQcmIaYS,Indie / Unmapped,Alternative / Various
The Beatles,Revolver,Tomorrow Never Knows - Remastered 2009,spotify:track:00oZhqZIQfL9P5CjOP6JsO,Indie / Unmapped,Alternative / Various
Melanie Williams,Somos 2,El Japonés,spotify:track:5zkS9zwMT5KsEP98VeyzEG,Indie / Unmapped,Alternative / Various
Usted Señalemelo,Nuevo Comienzo,Nuevo Comienzo,spotify:track:67tXLMcNhEfTYBsuBQ8aHE,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Janis Joplin,Pearl (Legacy Edition),Me and Bobby McGee,spotify:track:1IqFh00G2kvvMm8pRMpehA,Indie / Unmapped,Alternative / Various
Dillom,LA NUEVA VIOLENCIA,Gente Común,spotify:track:64q641Y4BCpL4JLWMNdUfR,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk"
Serú Girán,Bicicleta,A Los Jóvenes De Ayer - Remastered 2012,spotify:track:6YAl320SfxLO4rVIZTFKqG,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
La Renga,Despedazado Por Mil Partes,Psilosibe Mexicana,spotify:track:0qn60hVniX1g4MwS4TYU7F,Rock Argentino,"Hard Rock, Heavy Blues"
Alanis Morissette,The Collection,Head over Feet,spotify:track:7fWFqVCqWk6tUvN7QPtAgN,Indie / Unmapped,Alternative / Various
Perotá Chingó,Muta,Barro,spotify:track:2oEYtzg96yvyvyYtu7R6S5,World Music,"Folk Latinoamericano, Acoustic Indie"
Marina Fages,El Límite,El Límite,spotify:track:19UGBEYHwRc7UJQnesJViB,Indie Rock,"Punk Folk, Experimental Rock"
Adrian Berra,El Funeral,Las Palabras,spotify:track:7mYnPrDcZURORQSVLDGtEk,Indie / Unmapped,Alternative / Various
Las Ex,Depreciosa,Autodefensa,spotify:track:6JCMMyZ2nDNrbQ9iBIn2d9,Indie / Unmapped,Alternative / Various
Axel Fiks,Ojitos de Md,Ojitos de Md,spotify:track:0Pkc9prDMNlz3WhP9MkwMx,Indie Pop,"R&B Urbano, Bedroom Pop"
John Lennon,Plastic Ono Band,God - Remastered 2010,spotify:track:7kipZd4tWx6Mu8kBgB2Z2r,Classic Rock,"Singer-Songwriter, Pop Rock"
Marisa Monte,"Memórias, Crônicas e Declarações de Amor",Água Também É Mar - 2004 Digital Remaster,spotify:track:7iKtuHDEJOYCLvjjMWYomM,Indie / Unmapped,Alternative / Various
Ainda,ROMPECABEZAS,ROMPECABEZAS,spotify:track:57QXgVuDB2vaM78xfbvx1g,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
Serú Girán,Yo No Quiero Volverme Tan Loco,Mientras Miro Las Nuevas Olas - En Vivo,spotify:track:33JrRNyGPtXUWYbzhFb46S,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Lucas Martí,El murgón,El murgón,spotify:track:6SkiJB598z5onFGM9Q2qse,Indie / Unmapped,Alternative / Various
Suarez,Horrible,Porvenir,spotify:track:0KaUx52G1YgdviQK4QLY9b,Indie Rock,"Experimental, Dream Pop, Lo-Fi"
Bersuit Vergarabat,Hijos Del Culo,Toco Y Me Voy,spotify:track:0NELwHhQu4EVcmGmu8D7vV,Rock Argentino,"Latin Rock, Ska Rock, Cumbia Rock"
Pearl Jam,Vs.,Dissident - Remastered,spotify:track:1NnUbdEvJigY0ARnoOgDrv,Grunge,"Alternative Rock, Classic Rock Revival"
Café Tacvba,Re,Trópico de cáncer,spotify:track:0HH5a5fSVj7xN72vqINlaK,Rock en Español,"Latin Alternative, Experimental Rock"
Sophia Chablau e Uma Enorme Perda de Tempo,Música do Esquecimento,As coisas que não te ensinam na faculdade de filosofia,spotify:track:0ty7HdtrZPMOy9iPajky8t,Indie / Unmapped,Alternative / Various
Miguel Abuelo,Auditorio Kraft (1970),Dónde Está la Ternura - Inédito - En Vivo,spotify:track:1nzvfU75dYY6QEb4Tg5pf9,Rock Argentino,"Psych Rock, Folk Rock, Canción de Autor"
Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Vals Poético (feat. Los Macorinos) - Instrumental,spotify:track:1nFFFMgrtKN4Tq8WL28qlm,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor"
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,Femme Fatale,spotify:track:2gwwiPeyKgIdLqqlpt4Qee,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock"
Bob Marley & The Wailers,Kaya,She's Gone,spotify:track:6MFWhzNSsLdW3WtsuBZsOg,Reggae,Roots Reggae
Juan Carlos Baglietto,Tiempos Dificiles,Era En Abril,spotify:track:5JQNTG6ExMEnlFZy27xRkw,Trova Rosarina,"Canción de Autor, Folk Rock"
Marilina Bertoldi,Sexo Con Modelos,Sexo Con Modelos,spotify:track:08cn2BsqGype6g0Om5Nt6B,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Charly García,Piano Bar,Raros Peinados Nuevos,spotify:track:7mnf5omGMUwSfpwZrt5AZ0,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Martín Buscaglia,Temporada de Conejos,Cortémonos la Cara,spotify:track:5mVkeA8jJ21KFopkXrASbe,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Román Martino,Vecina,Vecina,spotify:track:40nt86tKWNatptHuQsNaAe,Indie / Unmapped,Alternative / Various
Fito Paez,Circo Beat,Lo que el viento nunca se llevó,spotify:track:22Z4CWsgY9RMB8RgGW5oU4,Rock Argentino,"Pop Rock, Piano Rock"
Pescado Rabioso,Artaud,Por,spotify:track:79vy4Ma2UIfzXxJx0SXLGL,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo"
Bomba Estéreo,Ayo,Siembra,spotify:track:5n8x10liZsZ61MkdTihlmj,Electro Cumbia,"Tropical Bass, Latin Alternative"
Viva Elastico,Al Fin Será,Rebeldía y Swing,spotify:track:1HzOxJtijd037rzmrbu9J7,Indie Rock,"Post-Punk, New Wave"
Matilda,Mañana - Homenaje a Los Gatos,Viento dile a la lluvia,spotify:track:3qg4WJBBZsAIVqDaWosZqU,Indie / Unmapped,Alternative / Various
Lisandro Aristimuño,Ese Asunto de la Ventana,Flor del Valle,spotify:track:6CUUZh3jqlqwG8QG3SbFEW,Canción de Autor,"Folktronica, Indie Folk"
Duratierra,Cría,Saravá,spotify:track:488NAtTe0rsM3VnUKWcmLL,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Indio Solari,Porco Rex,Porco Rex,spotify:track:0JofbKA33svbvVrycDlESc,Rock Argentino,"Hard Rock, Art Rock"
Lou Reed,Transformer,Walk On the Wild Side,spotify:track:5p3JunprHCxClJjOmcLV8G,Glam Rock,"Art Rock, Proto-Punk"
Camionero,Todo lo Sólido se Desvanece en el Aire,No Hablaremos de Mañana,spotify:track:5OWx7gi1D9yRmfAqKW6jVx,Indie / Unmapped,Alternative / Various
Los Besos,Copia Viva,El Dron,spotify:track:2IkeCkKYha3XWJYUJe7diV,Indie Pop,"Canción de Autor, Art Pop"
Elton John,Honky Chateau,Mona Lisas And Mad Hatters,spotify:track:4lBV4EO5yZvv1bDlk38hjK,Indie / Unmapped,Alternative / Various
Caetano Veloso,A Bossa De Caetano,Samba De Verão,spotify:track:1vt0n3GcAYrsSMue1C6OtC,Indie / Unmapped,Alternative / Various
Patricio Rey y sus Redonditos de Ricota,Luzbelito,Me Matan Limón!,spotify:track:1NnQQjskODEdYgb1aSFsne,Rock Argentino,"Post-Punk, Hard Rock"
Charly García,Clics Modernos,No Soy Un Extraño,spotify:track:5f3EtD85N6tTekD3HVja4j,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
El Cuarteto De Nos,Grandes Exitos / Greatest Hits,No Quiero Ser Normal,spotify:track:5vcK2Dr4G349DFNelTUhQQ,Indie / Unmapped,Alternative / Various
Fleetwood Mac,Rumours,Dreams - 2004 Remaster,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Indie / Unmapped,Alternative / Various
WOS,OSCURO ÉXTASIS,QUE SE MEJOREN,spotify:track:7nL1zzQNVESuRbd5ykNJFv,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion"
Claude Debussy,Debussy: Claro de luna,Debussy: Claro de luna,spotify:track:3isNxRqIIgGSI16tMO7xEO,Indie / Unmapped,Alternative / Various
Los Fundamentalistas del Aire Acondicionado,Los Fundamentalistas del Aire Acondicionado en Huracán,Ella Debe Estar Tan Linda - En Vivo,spotify:track:4kzyYKH0Sa4fla0oCwYt4t,Indie / Unmapped,Alternative / Various
Bob Dylan,Nashville Skyline,Girl from the North Country,spotify:track:4K1imZQQ0yKtJ40vGmUajS,Folk Rock,"Singer-Songwriter, Classic Rock"
Eddie Vedder,Earthling,The Haves,spotify:track:7qKRueZZIBzHdepFiZPKMK,Acoustic Folk,"Singer-Songwriter, Alternative Rock"
Steve Lacy,Bad Habit,Bad Habit,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Alternative R&B,"Bedroom Pop, Funk, Indie Rock"
The Magic Numbers,The Magic Numbers,Forever Lost,spotify:track:0CIUacqGuohdes8fdIP4K3,Indie / Unmapped,Alternative / Various
San Pedro Bonfim,Soy un detective subido en un burro,Débil como una piedra,spotify:track:2ETyi45VOhoPdicTx2wYzy,Indie Folk,Canción Latinoamericana
Charly García,Clics Modernos,Bancate Ese Defecto,spotify:track:5SoJgMbosyJLHLk7ThuFmr,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Nina Suárez,Algo Para Decirte,Quequén,spotify:track:1n4MQLBsPkSsY98y093HpW,Indie / Unmapped,Alternative / Various
Bestia Bebé,Vamos a Destruir,El rock and roll pasó de moda,spotify:track:0Zg2j7rF9Key9PlcfPNcR7,Indie Rock,"Punk Rock, Krautrock Argentino"
