artistName,genero_principal,generos_secundarios,canciones_guardadas,reproducciones_totales,msPlayed_totales,minutosPlayed_totales
La Renga,Rock Argentino,"Hard Rock, Heavy Blues",4,26.0,3324446.0,55.40743333333334
The Rolling Stones,Classic Rock,"Blues Rock, Roots Rock",4,25.0,3891046.0,64.85076666666667
Tribalistas,MPB,"Pop Brasileño, Acoustic Fusion",4,22.0,2088385.0,34.80641666666667
Los Abuelos De La Nada,Rock Nacional,Pop Rock / New Wave,4,20.0,2951999.0,49.199983333333336
Caetano Veloso,MPB,Tropicalismo / Bossa Nova,4,15.0,1290285.0,21.50475
Bandalos Chinos,Indie Pop,Synth-Pop / Disco Rock,4,13.0,2381185.0,39.686416666666666
Bob Dylan,Folk Rock,"Singer-Songwriter, Classic Rock",4,11.0,492726.0,8.2121
Charli xcx,Hyperpop,"Dance-Pop, Synth-Pop, Electronic",3,433.0,38171388.0,636.1898
Frank Ocean,R&B / Soul,Alternative R&B / Neo-Soul,3,204.0,33509595.0,558.49325
Juana Aguirre,Indie Folk,Folk / Canción de Autor,3,192.0,27849075.0,464.15125
Trueno,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap",3,159.0,7094863.0,118.24771666666666
Devendra Banhart,Freak Folk,"Indie Folk, Psych Folk",3,137.0,17826824.0,297.11373333333336
Lucy Patané,Rock Alternativo,"Experimental Folk, Post-Punk",3,126.0,20128091.0,335.46818333333334
Srta. Trueno Negro,Indie Pop,Indie Rock / Lo-Fi,3,76.0,9656657.0,160.94428333333335
Polo & Pan,Electro-Tropical,"French Touch, Downtempo, House",3,73.0,6438197.0,107.30328333333333
Viejas Locas,Rock Stone,"Blues Rock, Rock and Roll",3,60.0,10680060.0,178.001
Arctic Monkeys,Indie Rock,"Alternative Rock, Garage Rock",3,51.0,7671185.0,127.85308333333333
Alanis Morissette,Alternative Rock,90s Alternative / Pop Rock,3,50.0,9307018.0,155.11696666666666
Emmanuel Horvilleur,Pop Rock,"Funk Pop, Electro Funk",3,50.0,3503737.0,58.39561666666666
The Beatles,Classic Rock,British Invasion / Psychedelic Rock,3,50.0,5536747.0,92.27911666666667
Feli Colina,Indie Folk,"Canción Latinoamericana, Avant-Garde Pop",3,41.0,1994274.0,33.2379
Mora y los Metegoles,Indie Rock,"Garage Rock, Post-Punk",3,41.0,4705720.0,78.42866666666667
Mercedes Sosa,Folklore,Folklore Argentino / Nueva Canción,3,33.0,4681205.0,78.02008333333333
Santiago Motorizado,Indie Rock,"Canción de Autor, Bedroom Pop",3,32.0,5232977.0,87.21628333333334
Lucas Martí,Indie Pop,Pop Rock / Synth-Pop,3,29.0,2542484.0,42.37473333333333
Marina Fages,Indie Rock,"Punk Folk, Experimental Rock",3,28.0,3441608.0,57.36013333333333
Maria Gabriela Epumer,Rock Nacional,Pop Rock / Art Pop,3,23.0,2703006.0,45.0501
Massive Attack,Trip-Hop,Downtempo / Electronic,3,21.0,1977937.0,32.96561666666667
Eddie Vedder,Acoustic Folk,"Singer-Songwriter, Alternative Rock",3,20.0,2078200.0,34.63666666666667
Miguel Abuelo,Rock Argentino,"Psych Rock, Folk Rock, Canción de Autor",3,16.0,692056.0,11.534266666666667
David Bowie,Rock,Art Rock / Glam Rock,3,15.0,3843181.0,64.05301666666666
Paul McCartney,Classic Rock,Pop Rock / Soft Rock,3,15.0,1257925.0,20.965416666666666
Viva Elastico,Indie Rock,"Post-Punk, New Wave",3,12.0,1236821.0,20.613683333333334
Pixies,Alternative Rock,Indie Rock / Noise Pop,3,9.0,252851.0,4.214183333333334
Miranda!,Electro-Pop,"Synth-Pop, Dance-Pop",2,93.0,10874602.0,181.24336666666667
The Strokes,Indie Rock,Garage Rock Revival / Post-Punk,2,85.0,18217430.0,303.6238333333333
Astro,Indie Pop,Electropop / Indie Chileno,2,75.0,12079463.0,201.32438333333334
San Pedro Bonfim,Indie Folk,Canción Latinoamericana,2,65.0,7384053.0,123.06755
Rihanna,Pop / R&B,"Dancehall, Trap R&B, Hip-Hop",2,58.0,4517628.0,75.2938
Mazzy Star,Dream Pop,Dream Pop / Slowcore,2,49.0,9770713.0,162.84521666666666
"Tyler, The Creator",Hip-Hop / Rap,Alternative Hip-Hop / Neo-Soul,2,44.0,7156325.0,119.27208333333333
La Vela Puerca,Rock Uruguayo,"Ska Rock, Punk Rock",2,35.0,6414690.0,106.9115
Daft Punk,French House,"Electronic, Synth-Pop, Nu-Disco",2,34.0,4650878.0,77.51463333333334
George Harrison,Classic Rock,Pop Rock / Folk Rock / Singer-Songwriter,2,34.0,4314137.0,71.90228333333333
Pedro Pastor,Canción de Autor,Folk Fusion / Rock,2,34.0,3554200.0,59.236666666666665
Jeites,Folk Rock,"Reggae Fusion, Canción Latinoamericana",2,31.0,4487682.0,74.7947
Bersuit Vergarabat,Rock Argentino,"Latin Rock, Ska Rock, Cumbia Rock",2,28.0,4656802.0,77.61336666666666
Lucio Mantel,Canción de Autor,Indie Folk / Rock Argentino,2,28.0,3095551.0,51.59251666666667
Las Pastillas del Abuelo,Rock Nacional,Rock Argentino / Reggae Rock,2,26.0,5606201.0,93.43668333333333
New Order,Synth-Pop,Post-Punk / Dance-Rock,2,24.0,2664993.0,44.41655
Los Mundos Posibles,Indie Pop,"Dream Pop, Slowcore",2,22.0,2147821.0,35.79701666666667
Café Tacvba,Rock en Español,"Latin Alternative, Experimental Rock",2,21.0,3941641.0,65.69401666666667
The Lumineers,Indie Folk,"Americana, Acoustic",2,20.0,1267425.0,21.12375
Luca Prodan,Rock,Post-Punk / Reggae Rock,2,19.0,3757021.0,62.617016666666665
Palo Pandolfo,Rock Argentino,Post-Punk / Folklore Rock,2,17.0,1775035.0,29.583916666666667
Radiohead,Alternative Rock,"Art Rock, Experimental / Electronic Rock",2,17.0,662020.0,11.033666666666667
Mi Amigo Invencible,Indie Rock,Post-Punk / Pop Rock,2,16.0,2127725.0,35.46208333333333
C. Tangana,Latin Alternative,"Flamenco Pop, Urbano Latino, Rumba",2,15.0,1236677.0,20.611283333333333
Lou Reed,Glam Rock,"Art Rock, Proto-Punk",2,15.0,2196660.0,36.611000000000004
Pedro Aznar,Canción de Autor,"Jazz Fusion, Folklore Fusion, Pop Rock",2,15.0,439653.0,7.3275500000000005
Juan Luis Guerra 4.40,Bachata / Merengue,Tropical / Latin Pop,2,14.0,1497579.0,24.95965
The Chemical Brothers,Electronic,Big Beat / Electronica,2,14.0,1185390.0,19.7565
Eduardo Mateo,Candombe Beat,"MPB Uruguay, Psych Folk",2,13.0,585916.0,9.765266666666667
Almendra,Rock Argentino,Folk Rock / Psychedelic Rock,2,12.0,1390125.0,23.16875
Amy Winehouse,Neo-Soul,"Soul, Ska / Reggae, R&B",2,11.0,1881587.0,31.359783333333336
La Chicana,Tango Canción,"Tango Fusion, Rock de Cámara",2,11.0,684043.0,11.400716666666668
Air,Electronic,Downtempo / French Touch / Ambient,2,10.0,1028888.0,17.148133333333334
Fun People,Hardcore Punk,"Melodic Hardcore, Alternative Rock",2,10.0,1158685.0,19.311416666666666
MGMT,Indie Pop,Psychedelic Pop / Synth-Pop,2,10.0,946264.0,15.771066666666666
Spinetta Y Los Socios Del Desierto,Power Trio / Rock,"Hard Rock, Funk Rock, Fusion",2,10.0,821838.0,13.6973
Melanie Williams,Indie Pop,Funk Pop / Psychedelic,2,9.0,675074.0,11.251233333333333
The Kinks,Classic Rock,"Garage Rock, Folk Rock, Proto-Punk",2,9.0,1001858.0,16.697633333333332
The Magic Numbers,Indie Pop,Indie Rock / Harmony Pop,2,9.0,1570354.0,26.172566666666665
Tonolec,Folktronica,Folklore Fusion / World Music,2,9.0,688550.0,11.475833333333334
Winona Riders,Krautrock / Garage Rock,"Post-Punk, Psychedelic Rock",2,9.0,622073.0,10.367883333333333
John Lennon,Classic Rock,"Singer-Songwriter, Pop Rock",2,6.0,507859.0,8.464316666666667
PJ Harvey,Alternative Rock,Indie Rock / Art Rock,2,6.0,785827.0,13.097116666666667
The Doors,Psychedelic Rock,Blues Rock / Hard Rock,2,6.0,436284.0,7.271399999999999
Adrian Berra,Indie / Unmapped,Alternative / Various,2,0.0,0.0,0.0
CA7RIEL & Paco Amoroso,Urbano Latino,"Electro Funk, Alternative Trap, Hip-Hop",1,258.0,17470992.0,291.1832
Jorge Drexler,Canción de Autor,Pop Folk / Latin Singer-Songwriter,1,80.0,12386160.0,206.436
Aretha Franklin,Soul / R&B,Classic Soul / Gospel,1,68.0,9431574.0,157.1929
Led Zeppelin,Hard Rock,"Blues Rock, Folk Rock, Heavy Metal Primigenio",1,51.0,8084648.0,134.74413333333334
Olivia Dean,R&B / Soul,Neo-Soul / Pop,1,48.0,7030854.0,117.18090000000001
Phoebe Bridgers,Indie Folk,Indie Rock / Bedroom Pop,1,48.0,7211271.0,120.18785
Callejeros,Rock Nacional,Rock Barrial,1,44.0,7975691.0,132.92818333333332
my bloody valentine,Shoegaze,Shoegaze / Noise Pop / Alternative Rock,1,44.0,5307670.0,88.46116666666667
Fred again..,Electronic / Dance,House / Future Garage / UK Dance,1,40.0,4851548.0,80.85913333333333
Nina Simone,Jazz / Soul,Classic Jazz / Vocal Jazz / Soul,1,39.0,4823998.0,80.39996666666667
Perras on the beach,Indie Rock,Indie Psicodélico / Rock Argentino,1,39.0,6336635.0,105.61058333333334
Underworld,Techno,"Progressive House, Trance, Electronic",1,35.0,3794867.0,63.24778333333333
Steve Lacy,Alternative R&B,"Bedroom Pop, Funk, Indie Rock",1,34.0,4331302.0,72.18836666666667
Valle de Muñecas,Indie Rock,Indie Rock Argentino / Post-Punk Revival,1,30.0,5435859.0,90.59765
Rodrigo Cuevas,Folk / World,Electro-Folk / Folklore Asturiano,1,29.0,5569271.0,92.82118333333332
Camionero,Rock Nacional,Blues Rock / Hard Rock / Indie Rock,1,26.0,4079123.0,67.98538333333333
Ciro y los Persas,Rock Nacional,Rock Argentino / Blues Rock,1,26.0,4851288.0,80.8548
Billie Eilish,Pop,Alt-Pop / Bedroom Pop / Electropop,1,24.0,1831978.0,30.532966666666667
Helado Negro,Indie Alternative,Ambient Pop / Latin Alternative,1,24.0,3475178.0,57.91963333333334
Sticky Fingers,Indie Rock,Reggae Rock / Psychedelic,1,24.0,3235934.0,53.932233333333336
Kings of Leon,Alternative Rock,"Garage Rock Revival, Southern Rock",1,23.0,2908162.0,48.469366666666666
Lorde,Art Pop,"Indie Folk, Bedroom Pop",1,23.0,2779438.0,46.32396666666667
Máze,Indie Electronic,"Synth-Pop, Ambient",1,23.0,1890641.0,31.510683333333333
Jonny Greenwood,Banda Sonora / Experimental,Música Clásica Contemporánea / Art Rock,1,22.0,2806097.0,46.76828333333333
Cate Le Bon,Art Pop,Post-Punk / Avant-Pop / Indie Rock,1,21.0,4798977.0,79.98294999999999
Cupido,Indie Pop,Electropop / Urban Pop,1,21.0,2022810.0,33.7135
Lykke Li,Indie Pop,Electropop / Art Pop,1,21.0,2571590.0,42.859833333333334
TOCH,Folk Fusion,Reggae / Pop Latino,1,21.0,2572686.0,42.8781
Wach,Indie Rock,Rock Alternativo / Fusion,1,21.0,2543905.0,42.39841666666667
Hermanos Gutiérrez,Instrumental,Latin Instrumental / Desert Rock,1,18.0,2584148.0,43.06913333333333
Stereolab,Post-Rock,Krautrock / Space Age Pop,1,18.0,1514059.0,25.234316666666665
The Clash,Punk Rock,"Post-Punk, Garage Rock",1,18.0,2977692.0,49.6282
Manu Chao,Worldbeat,Reggae / Latin Alternative,1,17.0,1487352.0,24.789199999999997
Future Islands,Synth-Pop,Indie Pop / Post-Punk Revival,1,16.0,2947688.0,49.12813333333334
Sergio Mendes & Brasil '77,Bossa Nova,Latin Pop / MPB,1,16.0,2197296.0,36.6216
Bobby Womack,Soul,R&B / Gospel,1,15.0,1859606.0,30.993433333333336
Paul Higgs,Indie Pop,Rock Uruguayo / Psychedelic,1,15.0,2426236.0,40.437266666666666
Björk,Art Pop,"Experimental Electronic, House",1,14.0,1117621.0,18.627016666666666
Claude Debussy,Classical,Impressionism,1,14.0,619738.0,10.328966666666666
Manic Street Preachers,Alternative Rock,Britpop / Hard Rock,1,14.0,853122.0,14.2187
Milton Nascimento,MPB,Clube da Esquina / Jazz Fusion,1,14.0,2280340.0,38.00566666666667
Moreno Veloso,MPB (Música Popular Brasileña),Samba Fusion / Indie Pop,1,14.0,2546563.0,42.44271666666666
Nacho Vegas,Canción de Autor,Folk Rock / Indie Pop Español,1,14.0,4081498.0,68.02496666666667
Nina Suárez,Indie Rock,Alternative Rock / Noise Pop,1,14.0,1616011.0,26.933516666666666
Bomba Estéreo,Electro Cumbia,"Tropical Bass, Latin Alternative",1,13.0,435786.0,7.2631
Delinquent Habits,Hip-Hop,"Latin Rap, Chicano Rap, East Coast Hip-Hop",1,13.0,773287.0,12.888116666666667
Juca Chaves,Bossa Nova,MPB / Comedy Pop,1,13.0,1493316.0,24.8886
Oscar Moro,Rock Argentino,Progressive Rock / Drummer,1,13.0,1949888.0,32.498133333333335
boygenius,Indie Rock,"Indie Folk, Alternative Rock",1,13.0,1528262.0,25.471033333333335
Cuco,Bedroom Pop,"Indie Pop, Chicano Batman Folk, Chicano R&B",1,12.0,563599.0,9.393316666666667
Gorillaz,Alternative Pop,"Hip-Hop, Synth-Pop, Reggaeton / Dub",1,12.0,876383.0,14.606383333333333
Lola Parda,Indie Folk,Canción de Autor,1,12.0,1193401.0,19.890016666666668
Pretenders,New Wave,"Post-Punk, Pop Rock",1,12.0,775536.0,12.925600000000001
Secos & Molhados,MPB,Glam Rock / Psych Folk,1,12.0,1663782.0,27.729699999999998
Cartola,Samba,Samba de Raíz / MPB,1,11.0,545241.0,9.08735
El Gran Combo De Puerto Rico,Salsa,Salsa Clásica,1,11.0,959254.0,15.987566666666666
Os Mutantes,Tropicalismo,"Psychedelic Rock, Garage Rock",1,11.0,1590433.0,26.507216666666665
Sandro,Pop Latino,Rock and Roll / Balada Romántica,1,11.0,1323397.0,22.056616666666667
The Honeydrippers,Blues Rock,Rock and Roll,1,11.0,1641958.0,27.365966666666665
Thundercat,Neo-Soul,Funk / Jazz Fusion / Alternative R&B,1,11.0,822240.0,13.703999999999999
Alejandro y Maria Laura,Canción de Autor,"Indie Pop, Folk Latinoamericano",1,10.0,1243890.0,20.7315
Cocteau Twins,Dream Pop,"Shoegaze, Post-Punk, Etherial Wave",1,10.0,1182458.0,19.707633333333334
Don Osvaldo,Rock Nacional,Rock Barrial,1,10.0,1371562.0,22.859366666666666
Karina Vismara,Indie Folk,Alt-Country / Acoustic,1,10.0,1107278.0,18.454633333333334
Kevin Johansen,Canción de Autor,Latin Fusion / Pop Folk,1,10.0,675007.0,11.250116666666667
Kings of Convenience,Indie Folk,Acoustic / Pop,1,10.0,710238.0,11.8373
Nick Drake,Folk,Singer-Songwriter / Acoustic,1,10.0,1331867.0,22.197783333333334
Pink Floyd,Progressive Rock,"Psychedelic Rock, Art Rock",1,10.0,407316.0,6.788600000000001
Planta & Canta,Reggae Fusion,"Dub, Ska",1,10.0,210288.0,3.5048000000000004
Primal Scream,Alternative Rock,"Madchester, Gospel Rock, Neo-Psychedelia",1,10.0,571518.0,9.5253
SZA,Contemporary R&B,"Neo-Soul, Alternative R&B",1,10.0,983470.0,16.391166666666667
Stone Temple Pilots,Alternative Rock,"Grunge, Psychedelic Rock",1,10.0,1434404.0,23.906733333333335
Tame Impala,Psychedelic Pop,Synth-Pop / Neo-Psychedelia,1,10.0,1893274.0,31.554566666666666
The Cure,Post-Punk,"Gothic Rock, New Wave, Pop Rock",1,10.0,974263.0,16.237716666666667
An Espil,Neo-Soul,R&B / Jazz Fusion,1,9.0,921224.0,15.353733333333334
Audrey,Indie Pop,R&B / Bedroom Pop,1,9.0,211694.0,3.5282333333333336
Buena Vista Social Club,Música Cubana,"Son Cubano, Guajira",1,9.0,643660.0,10.727666666666668
Buffy Sainte-Marie,Folk,Singer-Songwriter / Native Folk,1,9.0,95067.0,1.5844500000000001
Camaron De La Isla,Flamenco,"Nuevo Flamenco, Rumba Flamenca",1,9.0,1382166.0,23.0361
Elis Regina,MPB,"Bossa Nova, Jazz Vocal",1,9.0,1042415.0,17.373583333333336
Finn,Lo-Fi House,"Electronic, Chillwave",1,9.0,987314.0,16.455233333333332
Isla de Caras,Indie Pop,"Dream Pop, R&B Soul",1,9.0,856847.0,14.280783333333334
Julian Mourin,Indie Folk,Canción de Autor,1,9.0,680502.0,11.3417
Lara Pedrosa,Indie Pop,"Synth-Pop, Bedroom Pop",1,9.0,637962.0,10.6327
Le Mans,Indie Pop,Twee Pop / Elefant Records,1,9.0,551261.0,9.187683333333334
Los Visitantes,Rock Argentino,Post-Punk / Tango Rock,1,9.0,1733508.0,28.891799999999996
Sílvia Pérez Cruz,Canción de Autor,Folk Latinoamericano / Jazz / Flamenco,1,9.0,353555.0,5.8925833333333335
XENEZE,Indie Rock,"Lo-Fi, Alternative Rock",1,9.0,1429087.0,23.81811666666667
Fabiana Cantilo,Rock Argentino,Pop Rock,1,8.0,1067308.0,17.788466666666668
Ibiza Pareo,Electro Pop,"Synth-Pop, House",1,8.0,495752.0,8.262533333333334
Juan Carlos Baglietto,Trova Rosarina,"Canción de Autor, Folk Rock",1,8.0,369803.0,6.163383333333334
Julian Casablancas,Indie Rock,"New Wave, Synth-Pop",1,8.0,330560.0,5.509333333333333
Nirvana,Grunge,Alternative Rock / Punk Rock,1,8.0,169510.0,2.8251666666666666
Otis Redding,Soul,Southern Soul / R&B,1,8.0,999848.0,16.664133333333332
Perro Segovia,Indie Folk,Canción de Autor,1,8.0,719310.0,11.9885
Ratones Paranoicos,Rock and Roll,"Garage Rock, Blues Rock",1,8.0,615571.0,10.259516666666666
Ariel Ramírez,Folklore Argentino,Música Criolla / Piano,1,7.0,615651.0,10.26085
Depeche Mode,Synth-Pop,New Wave / Industrial Pop,1,7.0,380131.0,6.335516666666667
Elton John,Pop Rock,Piano Rock / Glam Rock,1,7.0,994679.0,16.577983333333332
FLORIAN,Indie Pop,Pop Rock / Urban,1,7.0,106180.0,1.7696666666666667
Fonso,Indie Rock,Lo-Fi / Experimental Rock,1,7.0,83813.0,1.3968833333333333
Julio y Agosto,Indie Folk,Acoustic / Canción de Autor,1,7.0,993860.0,16.564333333333334
Karen Marks,Minimal Wave,"Post-Punk, Synth-Pop",1,7.0,239418.0,3.9903
LOUTA,Indie Pop,"Electro-Pop, Performático",1,7.0,705217.0,11.753616666666666
Moby,Electronic,Downtempo / Ambient / Techno,1,7.0,1150088.0,19.168133333333333
Nahuel Piscitelli,Canción de Autor,Indie Folk,1,7.0,635484.0,10.5914
Román Martino,Indie Folk,Canción de Autor,1,7.0,524870.0,8.747833333333332
Sophia Chablau e Uma Enorme Perda de Tempo,Indie Rock,MPB / Post-Punk,1,7.0,1003690.0,16.728166666666667
Spinetta Jade,Jazz Rock,Rock Argentino / Fusion,1,7.0,1073866.0,17.897766666666666
Talking Heads,New Wave,Post-Punk / Art Pop / Funk,1,7.0,570814.0,9.513566666666666
The Smashing Pumpkins,Alternative Rock,"Dream Pop, Grunge",1,7.0,417403.0,6.956716666666667
The Smile,Art Rock,Experimental / Post-Punk,1,7.0,103635.0,1.7272500000000002
Turf,Pop Rock,"Britpop Argentino, New Wave",1,7.0,818474.0,13.641233333333334
Wilco,Indie Rock,Alt-Country / Experimental Rock,1,7.0,836347.0,13.939116666666667
Wings,Classic Rock,Pop Rock / Soft Rock,1,7.0,854730.0,14.2455
Wolf Alice,Alternative Rock,"Shoegaze, Grunge, Indie Rock",1,7.0,810217.0,13.503616666666666
10cc,Classic Rock,Art Rock / Pop Rock,1,6.0,451285.0,7.521416666666667
A1,Pop,Boy Band / Dance-Pop,1,6.0,1041056.0,17.350933333333334
Compay Segundo,Música Cubana,Son Cubano / Trova,1,6.0,314035.0,5.2339166666666666
Diles que no me maten,Indie Rock,Post-Rock / Krautrock,1,6.0,1070477.0,17.841283333333333
Jean Dawson,Indie Rock,Experimental Pop / Hip-Hop,1,6.0,572301.0,9.538350000000001
Los Fabulosos Cadillacs,Ska Rock,Latin Rock / Reggae / Fusion,1,6.0,482188.0,8.036466666666666
Nico,Art Rock,Gothic Rock / Avant-Garde,1,6.0,460384.0,7.673066666666667
Peter Gabriel,Art Rock,Progressive Rock / Worldbeat,1,6.0,1297874.0,21.631233333333334
Ric Ocasek,New Wave,"Power Pop, Synth-Pop",1,6.0,1042988.0,17.383133333333333
Amadou & Mariam,World Music,Afropop / Malian Blues,1,5.0,327190.0,5.453166666666666
Cat Power,Indie Rock,Indie Folk / Singer-Songwriter,1,5.0,345888.0,5.7648
DJ MÄMI,Urbano Latino,DJ / Reggaeton / Trap,1,5.0,411275.0,6.854583333333333
Edgardo Cardozo,Canción de Autor,Folklore Fusion / Jazz,1,5.0,152564.0,2.5427333333333335
