Fecha,genero_principal,generos_secundarios,cantidad_reproducciones,msPlayed,minutosPlayed
2025-08-23,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental",4,677963,11.299383333333333
2025-08-23,Indie Rock,"Art Rock, Synth-Pop, Dance Rock",3,383514,6.3919
2025-08-23,Folklore Argentino,"Canción Latinoamericana, Fusion Folk",2,334048,5.567466666666666
2025-08-23,French House,"Electronic, Synth-Pop, Nu-Disco",1,301373,5.022883333333334
2025-08-23,Indie Folk,"Acoustic, Singer-Songwriter",1,285386,4.756433333333334
2025-08-23,Rock Uruguayo,"Ska Rock, Punk Rock",1,254318,4.2386333333333335
2025-08-23,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock",2,240102,4.0017
2025-08-23,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B",1,238042,3.9673666666666665
2025-08-23,Folk Rock,"Reggae Fusion, Canción Latinoamericana",2,234835,3.9139166666666663
2025-08-23,Rock Alternativo,"Experimental Folk, Post-Punk",1,230500,3.841666666666667
2025-08-23,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental",1,228163,3.8027166666666665
2025-08-23,Indie Rock,"Experimental, Dream Pop, Lo-Fi",1,223706,3.7284333333333333
2025-08-23,Indie Pop,"Canción de Autor, Art Pop",2,204713,3.411883333333333
2025-08-23,Alternative Rock,"Garage Rock Revival, Southern Rock",1,203346,3.3891
2025-08-23,Rock Progresivo,"Symphonic Rock, Fusion",1,199498,3.3249666666666666
2025-08-23,Alternative Rock,"Shoegaze, Grunge, Indie Rock",1,196804,3.2800666666666665
2025-08-23,Dream Pop,"Shoegaze, Post-Punk, Etherial Wave",1,192466,3.2077666666666667
2025-08-23,Indie Folk,Canción Latinoamericana,1,191320,3.1886666666666668
2025-08-23,Indie Folk,"Acoustic, Folk Latinoamericano",1,179094,2.9849
2025-08-23,Indie Pop,"Dream Pop, Slowcore",1,170326,2.838766666666667
2025-08-23,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",1,169412,2.8235333333333332
2025-08-23,Hyperpop,"Dance-Pop, Synth-Pop, Electronic",1,164284,2.7380666666666666
2025-08-23,Folk Rock,"Singer-Songwriter, Classic Rock",2,160803,2.68005
2025-08-23,Worldbeat,"Folk Rock, Jam Band",2,90160,1.5026666666666668
2025-08-23,Piano Pop,"Pop Rock, Singer-Songwriter",2,83871,1.39785
2025-08-23,Glam Rock,"Art Rock, Proto-Punk",2,70245,1.17075
2025-08-23,Garage Rock,"Acoustic Blues, Indie Rock",1,63145,1.0524166666666666
2025-08-23,Rock Argentino,"Pop Rock, Piano Rock",2,58373,0.9728833333333333
2025-08-23,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo",1,49044,0.8174
2025-08-23,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",1,39426,0.6571
2025-08-23,Nueva Trova Cubana,"Trova, Canción de Autor",2,34664,0.5777333333333333
2025-08-23,Soul,"R&B, Northern Soul",1,33365,0.5560833333333334
2025-08-23,Indie Rock,"Lo-Fi, Alternative Rock",1,32533,0.5422166666666667
2025-08-23,Alternative Rock,"Grunge, Psychedelic Rock",1,32110,0.5351666666666667
2025-08-23,Indie Rock,"Canción de Autor, Bedroom Pop",1,30713,0.5118833333333334
2025-08-23,Rock Argentino,"Latin Rock, Ska Rock, Cumbia Rock",1,27071,0.4511833333333333
2025-08-23,Rock and Roll,"Garage Rock, Blues Rock",1,15408,0.2568
2025-08-23,Alternative Rock,"Singer-Songwriter, Folk Rock",1,13093,0.21821666666666667
2025-08-23,Trova Rosarina,"Canción de Autor, Folk Rock",1,11688,0.1948
2025-08-23,Rock Latino,"Folk Rock, Progressive Rock",1,10248,0.1708
2025-08-23,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock",1,9817,0.16361666666666666
2025-08-23,Indie Rock,"Post-Punk, Space Rock, Noise Pop",2,8416,0.14026666666666668
2025-08-23,Canción de Autor,"Candombe Beat, Folk Uruguayo",1,7886,0.13143333333333335
2025-08-23,Indie Rock,"Post-Punk, New Wave",1,7491,0.12485
2025-08-23,Reggae Fusion,"Dub, Ska",1,6886,0.11476666666666667
2025-08-23,Indie Rock,"Garage Rock, Post-Punk",1,4612,0.07686666666666667
2025-08-23,Latin Alternative,"Flamenco Pop, Urbano Latino, Rumba",1,4373,0.07288333333333333
2025-08-23,Progressive Rock,"Psychedelic Rock, Art Rock",1,3271,0.054516666666666665
2025-08-23,Electro Cumbia,"Tropical Bass, Latin Alternative",1,3000,0.05
2025-08-23,Folktronica,"Experimental Electronic, Art Pop",1,2556,0.0426
2025-08-23,Rock Stone,"Blues Rock, Rock and Roll",1,2494,0.04156666666666667
2025-08-23,Canción de Autor,"Indie Pop, Folk Latinoamericano",1,1991,0.033183333333333336
2025-08-23,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion",1,1264,0.021066666666666668
2025-08-24,Rock Progresivo,"Symphonic Rock, Fusion",2,411586,6.859766666666667
2025-08-24,Pop Rock,"Britpop Argentino, New Wave",1,232221,3.87035
2025-08-24,Electro-Tropical,"French Touch, Downtempo, House",1,222373,3.7062166666666667
2025-08-24,Rock Argentino,"Reggae Rock, Post-Punk",1,210026,3.5004333333333335
2025-08-24,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",1,207610,3.460166666666667
2025-08-24,Canción de Autor,"Rock de Cámara, Experimental Folk",1,204933,3.41555
2025-08-24,Classic Rock,"Garage Rock, Folk Rock, Proto-Punk",1,201022,3.3503666666666665
2025-08-24,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock",2,200229,3.33715
2025-08-24,Low Rock,"Alternative Rock, Jazz Rock, Blues Rock",1,194093,3.2348833333333333
2025-08-24,Indie Pop,"Psicodelia, Bedroom Pop",1,174357,2.90595
2025-08-24,Alternative Rock,"Funk Rock, Hard Rock",2,164338,2.7389666666666668
2025-08-24,Indie Folk,"Acoustic, Singer-Songwriter",1,153413,2.5568833333333334
2025-08-24,Canción de Autor,"Jazz Fusion, Folklore Fusion, Pop Rock",1,24665,0.41108333333333336
2025-08-24,Indie Folk,"Americana, Acoustic",1,20072,0.33453333333333335
2025-08-24,Progressive Rock,"Psychedelic Rock, Art Rock",2,19505,0.32508333333333334
2025-08-24,Rock Argentino,"Hard Rock, Heavy Blues",1,11870,0.19783333333333333
2025-08-24,Indie Rock,"Lo-Fi, Alternative Rock",1,8487,0.14145
2025-08-24,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",3,6976,0.11626666666666666
2025-08-24,Rock en Español,"Latin Alternative, Experimental Rock",1,6108,0.1018
2025-08-24,Candombe / Trova,"Canción de Autor, Vanguardia Uruguaya",1,5893,0.09821666666666666
2025-08-24,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock",2,5571,0.09285
2025-08-24,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo",2,4075,0.06791666666666667
2025-08-24,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop",1,3627,0.06045
2025-08-24,Música Cubana,"Son Cubano, Guajira",1,3490,0.058166666666666665
2025-08-24,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock",1,3114,0.0519
2025-08-24,Indie Rock,"Art Rock, Alternative Rock",1,2914,0.04856666666666667
2025-08-24,Rock Argentino,"Pop Rock, Piano Rock",1,2414,0.040233333333333336
2025-08-24,Indie Rock,"Afro-Pop Fusion, Art Pop",1,2230,0.03716666666666667
2025-08-24,Indie Pop,"Jangle Pop, Post-Punk",1,2214,0.0369
2025-08-24,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap",1,2100,0.035
2025-08-24,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock",1,1976,0.032933333333333335
2025-08-24,Canción de Autor,"Candombe Beat, Folk Uruguayo",1,1950,0.0325
2025-08-24,Reggae,Roots Reggae,1,1845,0.03075
2025-08-24,Bedroom Pop,"Indie Pop, Chicano Batman Folk, Chicano R&B",1,1814,0.030233333333333334
2025-08-24,Art Pop,"Experimental Electronic, House",1,1698,0.0283
2025-08-25,Rock Argentino,"Latin Rock, Ska Rock, Cumbia Rock",4,375908,6.265133333333333
2025-08-25,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",1,269066,4.4844333333333335
2025-08-25,Synth-Pop,"New Wave, Pop Rock",1,266986,4.449766666666667
2025-08-25,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock",1,241746,4.0291
2025-08-25,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental",1,154733,2.578883333333333
2025-08-25,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",1,77120,1.2853333333333334
2025-08-25,Pop Rock,"Funk Pop, Electro Funk",2,36040,0.6006666666666667
2025-08-25,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock",1,19906,0.33176666666666665
2025-08-25,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk",1,6506,0.10843333333333334
2025-08-25,Indie Rock,"Art Rock, Synth-Pop, Dance Rock",1,82,0.0013666666666666666
2025-08-26,Rock Argentino,"Hard Rock, Art Rock",1,310173,5.16955
2025-08-26,Rock Argentino,"Folk Rock, Progressive Rock",1,294733,4.912216666666667
2025-08-26,Hip-Hop,"Latin Rap, Chicano Rap, East Coast Hip-Hop",1,255693,4.26155
2025-08-26,Pop Rock,"Funk Pop, Electro Funk",1,243185,4.053083333333333
2025-08-26,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",1,241083,4.01805
2025-08-26,New Wave,"Post-Punk, Pop Rock",1,184093,3.068216666666667
2025-08-26,Indie Rock,"Garage Rock, Post-Punk",1,123018,2.0503
2025-08-26,New Wave,"Power Pop, Synth-Pop",1,67772,1.1295333333333333
2025-08-26,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental",1,1547,0.02578333333333333
2025-08-27,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock",1,343293,5.72155
2025-08-27,Grunge,"Alternative Rock, Classic Rock Revival",1,303586,5.0597666666666665
2025-08-27,Indie Electronic,"Synth-Pop, Ambient",2,278571,4.64285
2025-08-27,Classic Rock,"Blues Rock, Roots Rock",1,274226,4.570433333333333
2025-08-27,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop",1,261922,4.365366666666667
2025-08-27,Rock Argentino,"Post-Punk, Hard Rock",1,239906,3.9984333333333333
2025-08-27,Glam Rock,"Art Rock, Proto-Punk",1,221120,3.6853333333333333
2025-08-27,Flamenco,"Nuevo Flamenco, Rumba Flamenca",1,211493,3.5248833333333334
2025-08-27,Alternative Pop,"Hip-Hop, Synth-Pop, Reggaeton / Dub",1,193463,3.2243833333333334
2025-08-27,Indie Rock,"Punk Folk, Experimental Rock",1,193012,3.2168666666666668
2025-08-27,Indie / Unmapped,Alternative / Various,1,182240,3.037333333333333
2025-08-27,Nueva Trova Cubana,"Trova, Canción de Autor",1,178131,2.96885
2025-08-27,Rock Argentino,"Pop Rock, Piano Rock",1,143106,2.3851
2025-08-27,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock",1,11690,0.19483333333333333
2025-08-27,Britpop,"Alternative Rock, Garage Rock",1,2667,0.04445
2025-08-27,Alternative Rock,"Art Rock, Experimental / Electronic Rock",1,340,0.005666666666666667
2025-08-27,Tango Canción,"Tango Fusion, Rock de Cámara",1,324,0.0054
2025-08-27,Indie Pop,"R&B Urbano, Bedroom Pop",1,0,0.0
2025-08-28,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental",1,287506,4.791766666666667
2025-08-28,Indie Rock,"Punk Rock, Krautrock Argentino",1,241297,4.021616666666667
2025-08-28,World Music,"Folk Latinoamericano, Acoustic Indie",1,240449,4.007483333333333
2025-08-28,Indie Rock,"Post-Punk, Space Rock, Noise Pop",1,181766,3.0294333333333334
2025-08-28,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock",1,169653,2.82755
2025-08-28,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",1,132243,2.20405
2025-08-28,Indie Rock,"Art Rock, Alternative Rock",1,1297,0.021616666666666666
2025-08-29,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock",1,45976,0.7662666666666667
2025-08-29,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo",1,2230,0.03716666666666667
2025-08-29,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",1,1295,0.021583333333333333
2025-08-30,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock",5,1071939,17.865650000000002
2025-08-30,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",3,890892,14.848199999999999
2025-08-30,Alternative Rock,"Funk Rock, Hard Rock",3,788782,13.146366666666665
2025-08-30,Indie Rock,"Post-Punk, Space Rock, Noise Pop",2,570619,9.510316666666666
2025-08-30,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",3,552509,9.208483333333334
2025-08-30,Rock Latino,"Folk Rock, Progressive Rock",2,449717,7.495283333333333
2025-08-30,Rock Stone,"Blues Rock, Rock and Roll",2,414706,6.911766666666667
2025-08-30,Canción de Autor,"Rock de Cámara, Experimental Folk",3,411297,6.8549500000000005
2025-08-30,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion",1,388480,6.474666666666667
2025-08-30,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock",2,375449,6.257483333333333
2025-08-30,Rock Argentino,"Pop Rock, Piano Rock",1,337200,5.62
2025-08-30,Hard Rock,"Blues Rock, Folk Rock, Heavy Metal Primigenio",2,337153,5.6192166666666665
2025-08-30,Grunge,"Heavy Metal, Alternative Rock",1,318586,5.3097666666666665
2025-08-30,New Wave,"Power Pop, Synth-Pop",1,280600,4.676666666666667
2025-08-30,Lo-Fi House,"Electronic, Chillwave",1,273059,4.550983333333333
2025-08-30,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock",1,263466,4.3911
2025-08-30,Indie Electronic,"Synth-Pop, Ambient",1,254037,4.23395
2025-08-30,Indie Rock,"Art Rock, Synth-Pop, Dance Rock",1,246600,4.11
2025-08-30,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana",1,243640,4.060666666666667
2025-08-30,Indie Rock,"New Wave, Synth-Pop",1,243333,4.05555
2025-08-30,Rock Argentino,"Psych Rock, Folk Rock, Canción de Autor",2,236640,3.944
2025-08-30,Pop Rock,"Synth-Pop, Electro Pop",1,236120,3.9353333333333333
2025-08-30,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk",1,229842,3.8307
2025-08-30,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop",1,228965,3.8160833333333333
2025-08-30,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk",1,227145,3.78575
2025-08-30,Electro-Tropical,"French Touch, Downtempo, House",1,222373,3.7062166666666667
2025-08-30,MPB,"Bossa Nova, Jazz Vocal",1,214003,3.5667166666666668
2025-08-30,Canción de Autor,"Indie Pop, Folk Latinoamericano",1,212574,3.5429
2025-08-30,Post-Punk,"Gothic Rock, New Wave, Pop Rock",1,212533,3.5422166666666666
2025-08-30,Indie Pop,"Electro-Pop, Performático",1,209133,3.48555
2025-08-30,Reggae,Roots Reggae,1,207773,3.4628833333333335
2025-08-30,Folklore Argentino,"Canción Latinoamericana, Fusion Folk",1,206621,3.4436833333333334
2025-08-30,Rock Argentino,"Hard Rock, Heavy Blues",1,201659,3.3609833333333334
2025-08-30,Urbano Latino,"Alternative R&B, Trap Pop",1,191448,3.1908
2025-08-30,Indie Rock,"Experimental, Dream Pop, Lo-Fi",1,188639,3.1439833333333334
2025-08-30,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock",1,179306,2.9884333333333335
2025-08-30,Indie Pop,"Canción de Autor, Art Pop",1,178995,2.98325
2025-08-30,Indie / Unmapped,Alternative / Various,3,177490,2.9581666666666666
2025-08-30,Neo-Soul,"Soul, Ska / Reggae, R&B",1,169373,2.8228833333333334
2025-08-30,Acoustic Folk,"Singer-Songwriter, Alternative Rock",1,164500,2.7416666666666667
2025-08-30,Indie Pop,"R&B Urbano, Bedroom Pop",1,134425,2.2404166666666665
2025-08-30,Rock Argentino,"Folk Rock, Progressive Rock",1,90973,1.5162166666666668
2025-08-30,Candombe Beat,"MPB Uruguay, Psych Folk",1,62708,1.0451333333333332
2025-08-30,Folk,"Singer-Songwriter, Vocal Jazz",1,60863,1.0143833333333334
2025-08-30,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",1,52442,0.8740333333333333
2025-08-30,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop",1,44251,0.7375166666666667
2025-08-30,Tropicalismo,"Psychedelic Rock, Garage Rock",1,7710,0.1285
2025-08-30,Indie Folk,"Acoustic, Singer-Songwriter",1,5053,0.08421666666666666
2025-08-30,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap",2,3985,0.06641666666666667
2025-08-30,Rock Argentino,"Post-Punk, Hard Rock",1,2810,0.04683333333333333
2025-08-30,Electronic,"Tech House, Techno",1,2652,0.0442
2025-08-30,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor",1,2306,0.03843333333333333
2025-08-30,Hip-Hop,"Latin Rap, Chicano Rap, East Coast Hip-Hop",1,2265,0.03775
2025-08-30,Flamenco,"Nuevo Flamenco, Rumba Flamenca",1,2056,0.03426666666666667
2025-08-30,Progressive Rock,"Psychedelic Rock, Art Rock",1,1752,0.0292
2025-08-30,Folktronica,"Experimental Electronic, Art Pop",1,0,0.0
2025-08-31,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",12,2121834,35.3639
2025-08-31,Rock Argentino,"Hard Rock, Funk Rock, Folklore Rock",1,325960,5.432666666666667
2025-08-31,Nueva Trova Cubana,"Trova, Canción de Autor",1,225983,3.766383333333333
2025-08-31,Classic Rock,"Garage Rock, Folk Rock, Proto-Punk",1,201022,3.3503666666666665
2025-08-31,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",2,132215,2.2035833333333334
2025-08-31,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock",1,125733,2.09555
2025-08-31,Pop Rock,"Britpop Argentino, New Wave",1,107720,1.7953333333333332
2025-08-31,Indie Rock,"Alternative Rock, Garage Rock",2,79910,1.3318333333333334
2025-08-31,Canción de Autor,"Indie Folk, Canción Platense",1,63526,1.0587666666666666
2025-08-31,Indie Folk,"Acoustic, Singer-Songwriter",1,11970,0.1995
2025-08-31,Deep House,"Tropical House, Dance-Pop",1,4725,0.07875
2025-08-31,Rock Argentino,"Folk Rock, Progressive Rock",1,4681,0.07801666666666666
2025-08-31,Indie Rock,"Art Rock, Synth-Pop, Dance Rock",1,4193,0.06988333333333334
2025-08-31,Bedroom Pop,"Indie Pop, Chicano Batman Folk, Chicano R&B",1,3805,0.06341666666666666
2025-08-31,Música Cubana,"Son Cubano, Guajira",1,3763,0.06271666666666667
2025-08-31,Indie Pop,"Dream Pop, R&B Soul",1,2733,0.04555
2025-08-31,Alternative R&B,"Bedroom Pop, Funk, Indie Rock",1,1800,0.03
2025-08-31,Electro Pop,"Synth-Pop, House",1,1511,0.025183333333333332
2025-08-31,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana",1,1507,0.025116666666666666
2025-08-31,Indie Rock,"Indie Folk, Alternative Rock",1,1396,0.023266666666666668
2025-08-31,Indie Rock,"Art Rock, Alternative Rock",1,1280,0.021333333333333333
2025-09-01,Hyperpop,"Dance-Pop, Synth-Pop, Electronic",6,872871,14.54785
2025-09-01,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion",4,712979,11.882983333333334
2025-09-01,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",3,675861,11.26435
2025-09-01,Urbano Latino,"Electro Funk, Alternative Trap, Hip-Hop",4,544876,9.081266666666666
2025-09-01,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap",2,322398,5.3733
2025-09-01,Indie Rock,"Art Rock, Alternative Rock",1,232514,3.8752333333333335
2025-09-01,Alternative R&B,"Bedroom Pop, Funk, Indie Rock",1,232114,3.8685666666666667
2025-09-01,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop",1,145893,2.43155
2025-09-01,Pop / R&B,"Trap, Contemporary R&B",1,62423,1.0403833333333334
2025-09-01,Techno,"Progressive House, Trance, Electronic",1,8860,0.14766666666666667
2025-09-01,Dance-Pop,"Synth-Pop, Electro Pop",1,6126,0.1021
2025-09-01,Contemporary R&B,"Neo-Soul, Alternative R&B",1,2830,0.04716666666666667
2025-09-01,Indie Electronic,"Synth-Pop, Ambient",1,2640,0.044
2025-09-01,Canción de Autor,"Rock de Cámara, Experimental Folk",1,270,0.0045
2025-09-02,Hyperpop,"Dance-Pop, Synth-Pop, Electronic",6,828753,13.81255
2025-09-02,Techno,"Progressive House, Trance, Electronic",3,688803,11.48005
2025-09-02,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",3,675861,11.26435
2025-09-02,Pop / R&B,"Dancehall, Trap R&B, Hip-Hop",3,630225,10.50375
2025-09-02,Urbano Latino,"Electro Funk, Alternative Trap, Hip-Hop",4,505649,8.427483333333333
2025-09-02,Pop / R&B,"Trap, Contemporary R&B",1,335750,5.595833333333333
2025-09-02,Contemporary R&B,"Neo-Soul, Alternative R&B",1,279204,4.6534
2025-09-02,Alternative Rock,"Grunge, Psychedelic Rock",1,246306,4.1051
2025-09-02,Electro-Pop,"Synth-Pop, Dance-Pop",1,239400,3.99
2025-09-02,Alternative R&B,"Bedroom Pop, Funk, Indie Rock",1,232114,3.8685666666666667
2025-09-02,Nueva Trova Cubana,"Trova, Canción de Autor",1,229002,3.8167
2025-09-02,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop",1,228965,3.8160833333333333
2025-09-02,Alternative Rock,"Madchester, Gospel Rock, Neo-Psychedelia",1,228266,3.8044333333333333
2025-09-02,Alternative Rock,"Garage Rock Revival, Southern Rock",1,203346,3.3891
2025-09-02,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock",2,201579,3.35965
2025-09-02,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock",1,160746,2.6791
2025-09-02,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop",1,145893,2.43155
2025-09-02,Indie Pop,"R&B Urbano, Bedroom Pop",1,137052,2.2842
2025-09-02,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap",6,112111,1.8685166666666668
2025-09-02,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B",1,106593,1.77655
2025-09-02,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion",3,43175,0.7195833333333334
2025-09-02,Classic Rock,"Singer-Songwriter, Pop Rock",1,26675,0.44458333333333333
2025-09-02,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock",2,25181,0.4196833333333333
2025-09-02,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock",2,15306,0.2551
2025-09-02,Dance-Pop,"Synth-Pop, Electro Pop",1,14726,0.24543333333333334
2025-09-02,PBR&B / Pop,"Synth-Pop, Funk Pop",2,13853,0.23088333333333333
2025-09-02,Canción de Autor,"Candombe Beat, Folk Uruguayo",2,6800,0.11333333333333334
2025-09-02,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana",1,6300,0.105
2025-09-02,Alternative Rock,"Dream Pop, Grunge",1,5136,0.0856
2025-09-02,MPB (Música Popular Brasileña),"Bossa Nova, Samba",1,4456,0.07426666666666666
2025-09-02,Tropicalismo,"Psychedelic Rock, Garage Rock",1,3786,0.0631
2025-09-02,Canción de Autor,"Rock de Cámara, Experimental Folk",1,3511,0.05851666666666667
2025-09-02,Electro-Tropical,"French Touch, Downtempo, House",2,2341,0.03901666666666667
2025-09-02,Synth-Pop,"Shoegaze, Ambient Electronic, Post-Rock",1,1901,0.031683333333333334
2025-09-02,French House,"Electronic, Synth-Pop, Nu-Disco",1,1766,0.029433333333333332
2025-09-03,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",19,2840832,47.3472
2025-09-03,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",1,301200,5.02
2025-09-03,Canción de Autor,"Folktronica, Indie Folk",1,206546,3.4424333333333332
2025-09-03,Alternative Rock,"Garage Rock Revival, Southern Rock",1,203346,3.3891
2025-09-03,Indie Pop,"Canción de Autor, Art Pop",1,175099,2.9183166666666667
2025-09-03,Hardcore Punk,"Melodic Hardcore, Alternative Rock",2,174465,2.90775
2025-09-03,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk",1,165740,2.7623333333333333
